Language,English,Russian,Ukrainian,Simplified Chinese,Traditional Chinese,Finnish,German,Swissgerman,Spanish ,Portuguese (Brazilian),Italian,Română/Moldoveneasca,French,Nederlands,Persian,Български / Bulgarian,Swedish
line_2,Support email: ingressbot@veikus.com,Email для вопросов и предложений: ingressbot@veikus.com,,,,,,,Email de Soporte: ingressbot@veikus.com,Email de Suporte: ingressbot@veikus.com,,,,,,е-мейл за поддръжка: ingressbot@veikus.com ,För stöd maila: ingressbot@veikus.com
line_3,,,Автор українскього перекладу: @Ukrrooter,翻译：@aerocaterpillar,翻譯：@aerocaterpillar,Suomenkielinen käännös: @Igetin,Deutsche Übersetzung: @murco,Schwiizerdütschi Übersetzig: @murco,"Traducción al español hecha por: @YersonPerez, @JorgeDominguez",Traduzido para português por Sidnei Daleprani - Ingress: @sd2 ; Telegram: @daleprani,Traduzione italiana di Marco Piccoli  (Telegram: @gible) e Max Ferrari (Telegram: @OniKoi) ,,Traduit en français par @Kbueno et @Coquelibio,Nederlandse vertaling: @Lord_Roest en @Robin,ترجمه شده توسط سجاد پورمشرفی @kind_brother,(пишете на Английски) ако имате въпроси.,Svensk översättning: @gloeckgal
line_4,Source code: http://github.com/veikus/ingresshelper,Исходный код: http://github.com/veikus/ingresshelper,Оригінал коду: http://github.com/veikus/ingresshelper,源代码: http://github.com/veikus/ingresshelper,源代碼: http://github.com/veikus/ingresshelper,Lähdekoodi: http://github.com/veikus/ingresshelper,Sourcecode: http://github.com/veikus/ingresshelper,Sourcecode: http://github.com/veikus/ingresshelper,Código fuente: http://github.com/veikus/ingresshelper,código fonte: http://github.com/veikus/ingresshelper,Codice sorgente: http://github.com/veikus/ingresshelper,Codul sursă: http://github.com/veikus/ingresshelper,Code Source: http://github.com/veikus/ingresshelper,Broncode: http://github.com/veikus/ingresshelper,سورس کد:https://github.com/veikus/ingresshelper,Изходен код на Bot-a: http://github.com/veikus/ingresshelper,Källkod: http://github.com/veikus/ingresshelper
,,,,,,,,,,,,,,,,,
module iitc,,,,,,,,,,,,,,,,,
help,You can setup IITC plugins from this menus,Вы можете настроить плагины IITC из этого меню,Ви можете налаштувати плагіни IITC із цього меню,在此界面设置ITTC插件,在此界面設置ITTC插件,Voit asentaa IITC-liitännäisiä tästä valikosta.,IITC plugins können in diesem Menu konfiguriert werden,IITC Plugins chönd i dem Menu konfiguriert wärde,Puedes configurar los plugins de IITC desde este menú,Você pode configurar os plugins do IITC neste Menu,Puoi impostare i plugin IITC da questo menu,Dumneavoastră  puteți configura plugin-urile  IITC în meniul dat,Vous pouvez configurer les plug-ins IITC depuis ce menu.,U kan IITC-plug-ins opstellen van deze menu's,شما میتوانید IITC راه اندازی کنید (نصب کنید) از طریق (توسط ) این منو ها,Може да настроите IITC приставката от тези менюта,Du kan starta IITC-tjänster från den här menyn
status,Current status:,Текущее состояние:,Поточний стан:,当前状态,當前狀態,Nykyinen tila:,Derzeitiger Status:,Jetzige Status:,Estado actual:,Situação atual:,Stato attuale:,Statusul actual:,État actuel :,Huidige status:,وضعیت فعلی:,Текущ статус:,Aktuell status:
complete_setup,Complete setup,Завершить настройку,Завершити налаштування,设置完成,設置完成,Lopeta asennus.,Setup abschliessen,Setup abschlüsse,Configuración completa,Configuração completa,Configurazione completata,Finisați configurările. ,Valider la configuration,Complete opstelling,راه اندازی کامل شد.تبریک میگم :)),Съхраняване на настройките,Tjänsten är klar.
,,,,,,,,,,,,,,,,,
module interval,,,,,,,,,,,,,,,,,
options_1,17 - All portals,17 - Все порталы,17 - Усі портали,17 - 全部Po,17 - 全部Po,17 – Kaikki portaalit,17 - Alle Portale,17 - Alli Portal,17 - Todos los portales,17 - Todos os portais,17 - Tutti i portali,17 - Toate portalurile,17 - Tous les portails,17 - Alle portalen,17 - همه پورتال,17 - Най ниско,17 - Alla portaler
options_2,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13
options_3,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6
options_4,3 - World,3 - Весь мир,3 - Весь світ,3 - 世界地图,3 - 世界地圖,3 – Koko maailma,3 - Global,3 - Global,3 - El mundo,3 - Mundial,3 - Tutto il Mondo,3 - Toată lumea,3 - Vue mondiale,3 - Wereld,3 - جهان (دنیا),3 - Световна карта,3 - Welt
cancel,Cancel setup,Отменить настройку,Відмінити налаштування,取消设置,取消设置,Peruuta.,Setup abbrechen,Setup abbreche,Cancelar configuración.,Cancelar a configuração,Cancella la configurazione,Anulează configurarea,Annuler la configuration,Opstelling annuleren,لغو راه اندازی,Отказ от настройките!,Avbryt 
cancel_previous,You already have interval task. You can cancel this task and create new one,У вас уже есть активная задача. Вы должны отменить ее перед созданием новой,У вас вже є активне завдання. Ви маєте відмінити її перед створенням нової,已有任务存在，您可以取消此任务后创建新任务,已有任務存在，您可以取消此任務后創建新任務,Sinulla on jo aikavälitehtävä määritettynä. Voit poistaa nykyisen tehtävän ja luoda uuden.,"Ein Interval Task ist bereits aktiv. Vor dem erstellen eines neuen, muss der bestehende beendet werden.",En Interval Task isch scho am lauffe. Vor em erstelle vomene neue Task mues de alt abboche werde.,Ya tienes una tarea de intervalo. Puedes cancelarla y crear una nueva.,Você já tem tarefa de intervalo. Você pode cancelar esta tarefa e criar uma nova,Hai già un comando salvato. Puoi cancellarlo e crearne uno nuovo.,"La dumneavoastră deja este o sarcină activă. E nevoie de anulat sarcina precedentă, înainte de a crea o sarcină nouă. ",Vous avez déjà une requête périodique en cours. Vous pouvez l'annuler puis en créer une nouvelle.,U heeft al een interval taal. U kan deze taak annuleren en een nieuwe maken,شما در حال حاظر وظیفه به ربات داده اید .میتوانید آن را لغو و وظیفه( دستور) جدیدی اضافه کنید.,Вече има зададена интервална задача. Може да се откажето от задачата и да програмирате нова.,Du har redan ett intervalluppdrag. Du kan avsluta det uppdraget och skapa ett nytt.
cancel_previous_option,Cancel previous and create new,Отменить задачу и создать новую,Відмінити завдання та створити нову,取消上一个任务并创建新任务,取消上一個任務并創建新任務,Poista edellinen ja luo uusi.,Aktiven Task abbrechen und neuen erstellen,De aktivi Task abbreche und en neue erstelle,Cancelar la previa y configurar nueva.,Cancelar anterior e criar nova,Cancella la precedente e creane una nuova,Anulează sarcina și creați una nouă. ,Annuler l'ancienne requête et en créer une nouvelle.,Vorige annuleren en een nieuwe maken,دستور قبلی را لغو کنید و و دستور جدیدی دست کنید(اضافه کنید),Откажи предишната и създай нова,Avbryt förra och skapa nytt.
timeout_setup,How long do you need interval?,Как долго нужно создавать скриншоты?,Протягом якого часу робити знімки?,您需要的间隔时间是？,您需要的間隔時間是？,Kuinka pitkän aikavälin tarvitset?,Wie lange soll der Task aktiv sein?,Wie lang söll de Task aktiviert bliibe?,¿Cúanto tiempo necesita el intervalo?,Quanto tempo de intervalo você precisa?,Quanto tempo hai bisogno nell'intervallo?,Cît timp de creat screenshot-urile,Sur quelle période souhaitez-vous recevoir des screenshots ?,Hoelang heeft u een interval nodig?,تا چه مدت این سرویس را میخواهید؟,Колко дълъг е необходимия интервал?,Hur länge behöver du intervallet?
pause_setup,How often do you need screenshots?,Как часто присылать скриншоты?,Як часто надсилати знімки?,您需要多久截屏一次？,您需要多久截屏一次？,Kuinka usein tarvitset kuvankaappauksia?,Wie häufig soll der Bot Screenshots senden?,Wie hüffig sött de Bot Screenshots schicke?,¿Con qué frecuencia necesita las capturas de pantalla?,Com que fequência você precisa de capturas de tela?,Ogni quanto tempo hai bisogno di uno screenshot?,Cît de des a transmite screenshot-urile ?,A quelle fréquence souhaitez vous recevoir les screenshots ?,Hoe vaak wilt u schermafbeeldingen?,هر چه مدت یکبار به تصاویر نیاز دارید؟,Колко често се нуждаете от скрийншоти?,Hur ofta behöver du skärmdumpar?
location_setup,Send geolocation now,Пришлите геолокацию нужной области,Надішліть геолокацію необхідної області,请发送位置坐标,請發送位置坐標,Lähetä sijaintisi.,Bitte den Standort senden,Bitte de Standort schicke,Envía ubicación ahora.,Enviar geolocalização agora,Invia la tua posizione ora,Transmiteți geolocația zonei dorite,Envoyez votre localisation maintenant,Stuur nu uw geolocatie,منتطقه جغرافیایی خود را ارسال کنید(مکان خود),Изпрати геолокация сега,Sänd koordinater nu.
zoom_setup,Select zoom level,Выберите масштаб карты,Оберіть масштаб мапи,选择放大等级,選擇放大等級,Valitse zoomaustaso.,Zoom Level auswählen,Zoom Level uswähle,Seleccione el nivel de zoom.,Escolha um nível de zoom,Seleziona il livello di zoom,Selectați scara hărții.,Choisissez le niveau de zoom,Selecteer zoomniveau,میزان بزرگنمایی را انتخاب کنید,Изберете ниво на височина,Välj zoomfaktor.
incorrect_input,Incorrect input,Неверный ввод. Выберите из предложенных вариантов,Неправильне значення. Виберіть із запропонованих варіантів,输入有误,輸入有誤,Virheellinen syöte.,Fehlerhafte Eingabe,Fählerhafti Iigab,Entrada incorrecta.,Entrada incorreta,Inserimento incorretto,Intrare Nevalidă. Selectați una din opțiuni,Entrée incorrecte.,Verkeerde input,ورودی نا معتبر(اشتباه),Некоректни входни данни,Fel inmatning.
task_saved,Task saved. You will start to receive screenshots soon,Задача сохранена. Скоро вы начнете получать скриншоты,Завдання збережено. Згодом Ви почнете отримувати знімки,任务保存完成，稍后会收到截屏,任務保存完成，稍後會收到截屏,Tehtävä tallennettu. Alan pian spämmimään sinua kuvankaappauksilla.,Task gespeichert. Die ersten Screenshots werden bald gesendet.,Task gspeicheret. Die erschte Screenshots werdet bald gschickt.,Tarea guardada. Emprezarás a recibir capturas de pantalla pronto.,Tarefa guardada. Você vai começar a receber screenshots em breve,Comando salvato. Comincerai presto a ricevere screenshot.,Sarcina a fost salvată. Degrabă veți începe primi screenshot-urile.,Tâche enregistrée. Vous commencerez à recevoir les screenshots bientôt.,Taak opgeslagen. U zal binnenkort schermafbeeldingen ontvangen,دستور شما ذخیره شد به زودی شما اسکرین شات ها را دریافت خواهید کرد!,Обработвам информацията. Благодаря!,Uppdraget är sparat. Du kommer att börja få skärmdumpar inom kort.
interval_finished,Interval complete. You will receive last screenshot in few minutes,Интервал окончен. Через несколько минут вы получите последний скриншот,Інтервал завершено. За декілька хвилин Ви отримаєте останній знімок,即将收到截屏,即將受到截屏,Aikaväli loppui. Saat viimeisen ruutukaappauksen parin minuutin sisään.,Task abgeschlossen. Der letzte Screenshot wird in Kürze gesendet.,Task abgschlosse. De letscht Screenshot wird glii gschickt.,Intervalo completo. Recibirás la última captura de pantalla en algunos minutos.,Intervalo completo. Você receberá a última captura de tela em poucos minutos,Intervallo completo. Riceverai l'ultimo screenshot in pochi minuti.,Intervalul este finisat. În scurt timp veți primi ultimul screenshot.,Période terminée. Vous recevrez le dernier screenshot dans quelques minutes.,Interval compleet. U zal de laatste schermafbeelding ontvangen in een paar minuten.,شما تا چند دقیقه دیگر آخرین اسکرین شات را دریافت خواهید کرد :),Интервала приключен. Ще получите последното изображение след малко.,Intervallet är kompletterat. Du kommar att få sista skärmdumpen inom några minuter.
,,,,,,,,,,,,,,,,,
module lang,,,,,,,,,,,,,,,,,
title,🇬🇧 English,🇷🇺 Русский,🇺🇦 Українська,🇨🇳 简体中文,🇨🇳 繁體中文,🇫🇮 Suomi,🇩🇪 Deutsch,🇨🇭 Schwiizerdütsch,🇪🇸 Español,🇵🇹🇧🇷 Português,🇮🇹 Italiano,🇷🇺 Româna / Moldovenească,🇫🇷 Français,🇳🇱 Nederlands,🇮🇷 فارسی,🇧🇬 Български / Bulgarian,🇸🇪 Svenska
welcome,Please choose your language:,"Пожалуйста выберите язык, который вам удобней использовать:","Будь ласка, оберіть мову, якою Вам зручніше користуватися:",请选择语言,請選擇語言,Valitse kieli.,Bitte Sprache auswählen,Bitte Spraach uswähle,"Por favor, elige tu idioma","Por favor, escolha o seu idioma","Per favore, scegli la tua lingua","Vă rugăm, selectați limba, care vă este mai comod de utilizat. ",Veuillez choisir la langue,Kies alstublieft uw taal,لطفا زبان مورد نظرتون رو انتخاب کنید,Моля изберете своя език:,Var vänlig och välj ditt språk:
incorrect_language,Incorrect input. Please select one of this options:,Неправильный выбор. Выберите из предложенных вариантов:,Неправильне значення. Виберіть із запропонованих варіантів:,输入有误，请重试,輸入有誤，請重試,"Virheellinen syöte, yritä uudelleen.",Fehlerhafte Eingabe. Bitte erneut versuchen.,Fehlerhafti Iigab. Bitte no einisch probiere.,"Entrada incorrecta. Por favor, inténtalo de nuevo.","Entrada incorreta. Por favor, tente novamente","Inserimento incorretto. Per favore, riprova.",Alegerea greșită. Vă rugăm sa selectați din opîiunile propuse .,Entrée incorrecte. Veuillez réessayer,Foute input. Probeert het opnieuw,ورودی اشتباست. لطفا دوباره تلاش کنی,Некоректни входни данни. Моля изберете една от следните възможности:,Fel inmatning. Var vänlig välj något av följande alternativ:
saved,Changes saved.,Изменения сохранены.,Зміни збережено.,修改完成,修改完成,Muutokset tallennettu.,Änderungen gespeichert,Änderige gspeicheret.,Cambios guardados.,Alterações guardadas,Modifiche salvate,Chimbprile au fost salvate.,Changements sauvegardés,Wijzigingen opgeslagen,تغییرات ذخیره شد!,Промените са съхранени.,Ändringar sparade
help_us,You can translate this bot to your language. Send an email to ingressbot@veikus.com if you want to participate.,Хотите помочь с переводом на другой язык? Напишите нам ingressbot@veikus.com,,,,,,,Ayúdanos,Você pode traduzir este bot para seu idioma. Envie um email para ingressbot@veikus.com se você quiser participar,,,,,,Може да преведете този Bot на своя език. Изпратете ни е-мейл на ingressbot@veikus.com ако желаете да сътрудничите.,du kan översätta den här botten till ditt språk. Skicka ett mail till ingressbot@veikus.com om du vill vara med och hjälpa till.
,,,,,,,,,,,,,,,,,
module main,,,,,,,,,,,,,,,,,
unknown_command,Unknown command,Неизвестная команда,Невідома команда,无效指令,無效指令,Tuntematon komento.,Unbekannter Befehl,De Befehl känni nöd.,Comando desconocido.,Comando desconhecido,Comando sconosciuto,Comanda necunoscută.,Commande inconnue,Onbekende opdracht,دستور نامعتبر است(شناسایی نشد),Непозната команда,okänd inmatning.
cancelled,"Ok, I cancelled the previous command","Окей, команда отменена","Гаразд, команду скасовано",好的，我将取消上一条指令,好的，我將取消上一條指令,Peruutin edellisen komennon.,"Ok, vorheriger Befehl abgebrochen.","Ok, vorhärige Befehl abbroche.","Ok, cancelé el comando anterior.","Ok, Cancelei o comando anterior","Ok, ho cancellato il comando precedente","Okey,am anulat comanda precedentă. ","Ok, j'ai supprimé la commande précédente.","Oké, vorige opdracht geannuleerd",دستور قبلی شما لغو شد!,"Ок, прекратявам интервалното изпращане на изображения, приятен ден!","Ok, jag avbröt föregående befäl"
rate_us_1,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,,,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐
rate_us_2,Please rate us in the storebot:,Пожалуйста оцените нашего бота:,Оцініть нас в storebot:,,,Arvostele tämä botti @storebot​issa:,Wir würden uns über eine Bewertung beim storebot freuen!,Mier würded eus über en bewertig bim storebot freue!,Por favor califícanos en la storebot,"Por favor, classifique-nos no storebot","Per favore, valutaci nello storebot",Vă rugăm să ne evaluați în storebot.,Merci de nous évaluer dans le storebot,Beoordeel ons in de storebot,لطفا به ما در استور بات رای دهید! ,Моля гласувайте за нас в сториборда:,Var vänlig och bedömsätt oss i storebot:
rate_us_3,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,,,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot,http://telegram.me/storebot?start=ingressmap_bot
,,,,,,,,,,,,,,,,,
module screenshot,,,,,,,,,,,,,,,,,
zoom_setup,Select a zoom level:,Выберите масштаб карты:,Оберіть масштаб мапи:,选择放大级别,選擇放大級別,Valitse zoomaustaso.,Zoom Level auswählen,Zoom Level uswähle,Selecciona el nivel de zoom.,Escolha um nível de zoom,Seleziona il livello dello zoom,Selectați scara hărții,Sélectionnez le niveau de zoom,Selecteer zoomniveau,میزان بزرگنمایی را انتخاب کنید,Изберете ниво на увеличение:,Välj en zoomgrad:
task_saved,Task saved. Please wait for a few minutes.,Задача сохранена. Через несколько минут вы получите скриншот.,Завдання збережено. За декілька хвилин Ви отримаєте знімок.,任务保存完成，请稍候,任務保存完成，請稍候,Tehtävä tallennettu. Odota hetki.,Task gespeichert. Bitte einige Minuten warten.,Task gspeicheret. Bitte es paar minute warte.,Tarea guardada. Por favor espera unos minutos.,"Tarefa guardada. Por favor, aguarde um pouco","Comando salvato, Per favore, attendi qualche minuto","Sarcina este salvat. După câteva minute, vei primi un screenshot",Tâche enregistrée. Merci d'attendre quelques minutes.,Taak opgeslagen. Wacht alstublieft een paar minuten,دستور یا وظیفه ذخیره شد لطفا برای چند دقیقه صبر کنید...,Обработвам информацията. Благодаря !,Uppdraget är sparat. Var vänlig vänta några minuter.
location_required,Send geolocation now.,Пришлите геолокацию нужной области.,Надішліть геолокацію необхідної області.,选择放大级别,選擇放大級別,Lähetä sijaintisi.,Bitte den Standort senden,Bitte de Standort schicke,Envía ubicación ahora.,Enviar geolocalização agora,Manda adesso la tua posizione,Trimite geolocația zonei dorite,Envoyez votre localisation maintenant,Stuur nu uw geolocatie,منتطقه جغرافیایی خود را ارسال کنید(مکان خود),Изпратете геолокация моля.,Skicka koordinater nu.
options_1,17 - All portals,17 - Все порталы,17 - Усі портали,17 - 全部Po,17 - 全部Po,17 – Kaikki portaalit,17 - Alle Portale,17 - Alli Portal,17 - Todos los portales,17 - Todos os portais,17 - Tutti i portali,17 - Toate portalurile,17 - Tous les portails,17 - Alle portalen,,17 - Най ниско,17 - Alla portaler
options_2,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,16;15;14;13,,16;15;14;13,16;15;14;13
options_3,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,12;10;8;6,,12;10;8;6,12;10;8;6
options_4,3 - World,3 - Весь мир,3 - Весь світ,3 - 世界地图,3 - 世界地圖,3 – Koko maailma,3 - Global,3 - Global,3 - Mundo,3 - Mundial,3 - Mondo,3 - Toată lumea,3 - Vue mondiale,3 - Wereld,,3 - Световна карта,3 - Världen
send_location,Send current location,Поделиться геолокацией,,,,,,,Enviar ubicación,Enviar Localização,,,,,,Изпратете геолокация моля.,Skicka platsen.
,,,,,,,,,,,,,,,,,
module tasks,,,,,,,,,,,,,,,,,
something_went_wrong,I'm sorry. It looks like something went wrong. Please try again in a few minutes.,"Ой. Что-то пошло не так. Пожалуйста, попробуйте еще раз через пару минут","Вибачте, але щось пішло не так. Будь ласка, спробуйте знову за декілька хвилин",不好意思，机器人好像出错了，请稍后再试,不好意思，機器人好像壞掉了，請稍後再試,"Huppistakeikkaa, nyt meni bitti vinoon. Yritä hetkisen kuluttua uudestaan.",Entschuldigung. Etwas ist schief gelaufen. Bitte in ein paar Minuten erneut versuchen.,Tschuldigung. Öppis isch ganz lätz gloffe. Bitte in es paar Minute nomol probiere.,Lo siento. Parece que algo está realmente mal. Vuelve a intentarlo en unos minutos.,"Desculpe. Parece que algo deu errado. Por favor, tente novamente em alguns minutos",Mi dispiace. Sembra che qualcosa sia andato storto. Riprova tra qualche minuto,Oh. Ceva n-a mers bine. Vă rugăm să încercați din nou în câteva minute,Je suis désolé. Quelque chose a l'air de s'être mal déroulé. Merci de réessayer dans quelques minutes.,Het spijt mij. Waarschijnlijk werkt er iets niet. Probeert u het alstublieft opnieuw over een paar minuten,من متاسفم به نظر میاد یک چیزی اشتباست لطفا چند دقیقه دیگر دوباره تلاش کنید ,Съжалявам. Изглежда има проблем. Опитайте отново по късно.,Jag är ledsen. Det verkar ha blivit något fel. Var vänlig försök igen om några minuter.
,,,,,,,,,,,,,,,,,
module stats,,,,,,,,,,,,,,,,,
tasks_in_queue,Tasks in queue: ,Задач в очереди:,Завдань у черзі:,,,Tehtäviä jonossa:,Tasks in Warteschlange:,Wartendi Tasks:,Solicitud en cola:,Tarefas na fila:,Comandi in attesa,Sarcini în așteptare:,Demandes en attente :,Taken in de rij:,وظایف در صف:,На опашката има задачи:,Uppdrag i kö.
,,,,,,,,,,,,,,,,,
module common,,,,,,,,,,,,,,,,,
rate_us,Rate us,Оценить бота,Оцінити бота,,,Arvostele tämä botti.,Bewerte uns,Bewärt eus,Califícanos,Avalie nosso app,,,Evaluez nous,Beoordeel ons,,Моля гласувайте за нас,bedöm oss.
subscibe,Subscribe newsletter,Подписаться на новости,Підписатися на новини,,,Tilaa uutiskirje.,Newsletter abonnieren,Newsletter abonniere,Suscríbete a las noticias,Subscrever para receber notícias,,,Abonnez vous à la newsletter,Abonneren op nieuwsbrief,,Запишете се за новини,prenumerera vårat nyhetsbrev
unsubscribe,Unsubscribe newsletter,Отписаться от новостей,Відписатися від новин,,,Lopeta uutiskirjeen tilaus.,Newsletter deabonnieren,Newsletter deabonniere,Desuscribirte de las noticias,Cancelar Subscrição,,,Désabonnez vous de la newsletter,Uitschrijven van nieuwsbrief,,Отпишете се от новините,avsluta din prenumeration på vårt nyhetsbrev
homepage,Back to actions list,К списку действий,До списку дій,,,Takaisin toimintolistaan.,Zurück zur Befehlsliste,Zrugg zu de Befehlslischte,Volver a la lista de acciones,Voltar à lista de ações,,,Retour à la liste d'actions,Terug naar lijst met acties,,Обратно в списъка с команди,tillbaka till framsidan.
make_screenshot,Make screenshot,Запросить скриншот,Запит на знімок екрану,,,Ota kuvankaappaus.,Screenshot machen,Schreenshot mache,Hacer screenshot,Tirar Screenshot,,,Faire un screenshot,Schermafbeelding maken,,Изпрати screenshot,gör skärmdump
